Word,Count
*,42730
the,26616
OF,13496
and,12463
,12438
The,12099
THE,12005
of,11906
to,8533
program,7502
for,6931
is,6545
that,6349
a,6293
Regents,5988
UNIVERSITY,5988
CALIFORNIA,5988
this,4980
without,4582
documentation,4521
AND,4506
software,4505
@param,4293
not,4081
are,3973
in,3618
be,3544
@see,3456
any,3382
OR,3009
FOR,3004
ANY,3003
NO,3003
\"\AS\,3001
SOFTWARE,3001
TO,3000
HAS,2995
California,2994
University,2994
This,2739
by,2719
or,2361
on,2286
from,2259
all,2147
#if,2067
@return,2031
will,2020
A,1950
its,1750
was,1713
#endif,1682
does,1673
operation,1598
if,1564
above,1561
All,1556
NOT,1528
provided,1527
written,1526
reason,1525
appear,1518
Permission,1508
purposes,1508
distribute,1507
supplied,1505
$,1504
rely,1504
IN,1504
\use,\,1504
marcusvnac,1503
copies,1503
$Id:,1503
BE,1503
IF,1503
ADVISED,1503
MERCHANTABILITY,1502
IS,1502
PARTICULAR,1502
agreement,1502
THIS,1502
FITNESS,1502
USE,1502
INCLUDING,1502
\TO,\,1501
\INDIRECT,\,1501
ITS,1501
notice,1501
SUCH,1501
SHALL,1501
Rights,1501
LIMITED,1501
Copyright,1501
\IS"\\,1501
developed,1501
\WARRANTIES,\,1501
POSSIBILITY,1501
paragraph,1501
PURPOSE,1501
(c),1501
WARRANTIES,1501
LIABLE,1501
DAMAGE,1501
Reserved,1501
CONSEQUENTIAL,1501
OUT,1501
ARISING,1501
EVEN,1501
IMPLIED,1501
BEEN,1501
exclusively,1501
BUT,1501
\SPECIAL,\,1501
EVENT,1501
copyrighted,1500
accompanying,1500
\granted,\,1500
\DAMAGES,\,1500
advised,1500
\BASIS,\,1500
\MAINTENANCE,\,1500
PARTY,1500
uninterrupted,1500
\INCLUDING,\,1500
\PROFITS,\,1500
\modify,\,1500
ON,1500
research,1500
\IS"\,\,1500
PROVIDE,1500
warrant,1500
services,1500
HEREUNDER,1500
SPECIFICALLY,1500
hereby,1500
\DOCUMENTATION,\,1500
\INCIDENTAL,\,1500
\DIRECT,\,1500
\ENHANCEMENTS,\,1500
OBLIGATIONS,1500
\fee,\,1500
\UPDATES,\,1500
end-user,1500
LOST,1500
understands,1500
PROVIDED,1500
copyright,1500
error-free,1500
\copy,\,1500
AN,1500
\SUPPORT,\,1499
MODIFICATIONS,1499
DISCLAIMS,1497
defined(LOGGING),1245
@author,1175
name,1154
an,1096
2010-04-03,1061
20:04:12Z,947
41,947
it,942
TODO:,933
new,918
class,906
we,881
with,877
element,794
model,791
UML,783
constructor,777
@#$LPS-LOGGING:GranularityType:Statement,765
given,739
diagram,727
which,694
as,642
should,627
list,579
{@link,565
Constructor,532
Returns,528
can,520
<p>,483
method,479
when,471
-,468
used,463
1996-2006,460
have,459
set,455
If,451
object,445
true,434
has,428
use,418
user,415
one,415
text,413
key,401
@deprecated,401
file,401
only,397
settings,397
panel,397
target,394
project,393
event,390
action,383
string,377
Fig,374
default,371
node,368
at,358
so,349
value,344
@since,343
property,342
Use,339
tfmorris,338
no,334
current,333
=,333
