
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1503,252664,118020,82588,17171,29066,537,105578,616149,35473,340929
D:\work\featuremining\workspace\argouml\argouml-app\src,1503,252664,118020,82588,17171,29066,537,105578,616149,35473,340929
D:\work\featuremining\workspace\argouml\argouml-app\src\org,1503,252664,118020,82588,17171,29066,537,105578,616149,35473,340929
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml,1503,252664,118020,82588,17171,29066,537,105578,616149,35473,340929
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\application,31,4721,1865,1340,225,524,9,2332,13524,692,6783
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\application\api,7,956,225,156,12,118,2,613,3467,161,1582
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\application\events,15,1545,476,309,84,196,0,873,5459,345,3390
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\application\helpers,3,837,458,350,68,74,1,305,1846,69,678
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\application\security,1,60,8,5,0,6,0,46,315,23,226
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\cognitive,76,15707,6824,5088,930,1918,38,6965,36310,1888,17196
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\cognitive\checklist,7,1138,454,336,70,155,2,529,2680,150,1374
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\cognitive\checklist\ui,2,550,280,214,44,74,1,196,817,50,458
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\cognitive\critics,8,1471,714,560,95,169,4,588,3235,175,1603
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\cognitive\critics\ui,4,976,576,455,72,107,3,293,1376,100,916
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\cognitive\ui,40,6611,3264,2523,376,840,18,2507,13188,1009,9175
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\configuration,7,1743,549,378,100,152,1,1042,5432,161,1582
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\gefext,15,1502,576,405,49,204,2,722,4578,345,3390
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\i18n,1,385,167,111,24,39,0,179,863,23,226
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\kernel,17,5435,2468,1710,390,717,3,2250,12506,391,3842
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\language,2,122,53,41,1,13,0,56,285,23,226
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\language\ui,1,122,53,41,1,13,0,56,285,23,226
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\moduleloader,5,1506,651,466,114,153,0,702,3360,115,1130
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\notation,63,14502,7988,5394,1466,1362,58,5152,30861,1429,13988
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\notation\providers,52,11726,6776,4502,1308,1036,58,3914,24348,1176,11532
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\notation\providers\java,7,1249,723,467,149,127,2,399,2411,161,1582
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\notation\providers\uml,24,9001,5495,3670,1080,752,56,2754,16218,555,5430
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\notation\ui,3,631,359,268,17,70,0,202,1083,69,678
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\ocl,5,847,453,288,105,107,9,287,1735,115,1130
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\pattern,6,579,179,134,45,86,2,314,2128,125,1145
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\pattern\cognitive,6,579,179,134,45,86,2,314,2128,125,1145
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\pattern\cognitive\critics,5,579,179,134,45,86,2,314,2128,125,1145
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\persistence,39,9996,4932,3484,673,1064,7,4000,21742,910,8837
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\profile,51,7926,4071,2851,851,990,0,2865,17010,1156,11310
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\profile\init,2,353,147,108,17,31,0,175,814,46,452
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\profile\internal,30,5382,3049,2112,708,729,0,1604,9358,673,6563
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\profile\internal\ocl,22,3781,2103,1446,594,518,0,1160,6819,485,4749
