Word,Count
*,610
the,572
TODO:,427
OF,328
of,304
OR,287
method,278
stub,277
Auto-generated,276
$NON-NLS-1$,247
and,213
THE,205
in,200
ArgoUML,165
ANY,164
this,161
,140
The,135
following,124
IN,123
AND,123
conditions,123
implementation,106
are,104
or,99
to,93
list,91
UML,90
with,89
binary,83
must,83
without,83
source,83
above,82
THIS,82
FOR,82
LIMITED,82
copyright,82
\LIABILITY,\,82
\notice,\,82
IMPLIED,82
Redistributions,82
NOT,82
provided,82
disclaimer,82
BUT,82
PROJECT,82
\TO,\,82
Project,75
from,72
be,70
for,69
that,62
-,53
use,51
a,50
@param,49
A,48
contributors,48
other,48
name,48
specific,47
is,47
its,45
used,45
code,44
names,43
may,43
$,42
derived,41
\EXEMPLARY,\,41
prior,41
FITNESS,41
THEORY,41
distribution,41
met:,41
\SPECIAL,\,41
reproduce,41
ON,41
LOSS,41
written,41
ARISING,41
retain,41
INTERRUPTION),41
ARE,41
MERCHANTABILITY,41
SHALL,41
PARTICULAR,41
WHETHER,41
WARRANTIES,41
HOWEVER,41
WAY,41
All,41
LIABLE,41
permission,41
PURPOSE,41
nor,41
\USE,\,41
\INCIDENTAL,\,41
rights,41
form,41
Copyright,41
BUSINESS,41
BE,41
(c),41
BY,41
SERVICES;,41
CONSEQUENTIAL,41
CAUSED,41
IF,41
materials,41
IS,41
PROCUREMENT,41
PROVIDED,41
OTHERWISE),41
GOODS,41
DISCLAIMED,41
documentation,41
SOFTWARE,41
NO,41
EVEN,41
OUT,41
TORT,41
\DIRECT,\,41
PROFITS;,41
SUBSTITUTE,41
software,41
POSSIBILITY,41
DAMAGES,41
STRICT,41
\DATA,\,41
\INDIRECT,\,41
promote,41
\(INCLUDING,\,41
marcusvnac,41
EXPRESS,41
NEGLIGENCE,41
``AS,41
\INCLUDING,\,41
ADVISED,41
$Id:,41
(INCLUDING,41
Neither,41
IS'',41
SUCH,41
DAMAGE,41
and/or,41
endorse,41
reserved,41
products,41
\WARRANTIES,\,41
\forms,\,41
\modification,\,41
\CONTRACT,\,41
Redistribution,41
permitted,41
\SOFTWARE,\,41
EVENT,41
USE,41
tfm,40
not,38
\2007,\,34
model,34
UML2,32
2.x,31
Constructor,28
an,27
ModelImplementation,26
by,24
EUML2,21
This,21
Eclipse,20
we,20
14:06:53Z,19
2010-04-06,19
53,19
2,19
return,18
been,17
replaced,17
Tom,16
if,16
have,16
Morris,16
Need,15
implement,15
as,15
equivalent,15
@author,15
it,14
should,13
In,13
removed,13
2010-04-03,12
which,12
now,12
TODO,12
Is,12
type,11
no,11
18:15:09Z,11
only,11
@return,11
26,11
but,10
all,10
2.1,10
element,10
implemented,9
check,9
gone,9
122,9
need,9
elements,9
00:46:37Z,9
2010-09-24,9
We,9
AssociationEndRole,8
can,8
class,8
\},\,8
\2.0,\,8
\AssociationRole,\,8
probably,8
internal,8
new,8
\ClassifierRole,\,8
connection,8
Collaboration,8
structure,8
Bogdan,8
association,8
Pistol,7
exist,7
Removed,7
throw,7
Gone,7
column,7
Model,7
\2007,2008\,7
{,7
},7
then,6
do,6
<p>,6
valid,6
defined(LOGGING),6
container,6
has,6
modeled,6
#endif,6
between,6
2.0,6
#if,6
UML2.x,6
Actions,6
null,6
here,6
SubactivityState,6
explicitly,6
=,6
\CallState,\,6
does,6
\ActionState,\,6
types,6
will,6
editing,5
If,5
1.4,5
<li>The,5
instanceof,5
integer,5
eUML,5
EditingDomain,5
just,5
they,5
because,5
domain,5
so,5
Changed,5
direction,5
needs,5
there,5
uses,5
parameters,5
metaclass,5
root,5
Not,4
changed,4
\UML2,\,4
events,4
Property,4
map,4
what,4
Link,4
supported,4
piece,4
longer,4
things,4
3rd,4
support,4
on,4
instead,4
doesn't,4
end,4
version,4
separate,4
$NON-NLS-1$//$NON-NLS-2$,4
built,4
same,4
navigable,4
String,4
\UML2.x,\,4
Type,4
double,4
meta,3
Classifier,3
\null,\,3
single,3
plugin,3
label,3
right,3
array,3
connections,3
tree,3
string,3
resources,3
remaining,3
//$NON-NLS-2$,3
per,3
Does,3
isn't,3
UML1.x,3
more,3
something,3
handle,3
Event,3
instance,3
interface,3
{@link,3
work,3
value,3
object,3
API,3
include,3
exception,3
semantics,3
destination,3
it's,3
else,3
NotImplementedException();,3
attributes,3
deprecated,3
given,3
legal,3
resource,3
\{Abstraction.class,\,3
operations,3
@see,3
stereotype,3
EObject,3
project,3
metamodel,3
Getter,3
Double,3
when,3
direct,3
part,3
multiple,3
classes,3
MultiplicityRange,3
created,3
user,3
belong,3
into,3
&,3
URI,3
was,3
subsystem,3
Public,2
Multiplicity,2
AssociationEnd,2
contain,2
2.1.1,2
empty,2
any,2
add,2
change,2
<<subsystem>>,2
way,2
rules,2
\"\org.eclipse.uml2.uml.editor.presentation"\\,2
client,2
\Extend,\,2
these,2
read,2
two,2
Argo,2
false,2
@#$LPS-LOGGING:GranularityType:Field,2
page,2
fixed,2
matches,2
Although,2
yet,2
col,2
parents,2
core,2
modelImplementation,2
Permission,2
still,2
notification,2
represented,2
Collection,2
(relationship,2
otherwise,2
Flow),2
extend,2
(Flow),2
Object,2
functionality,2
javadoc,2
