Word,Count
*,2362
the,1077
,532
to,532
of,474
and,438
The,423
OF,396
a,371
THE,352
@param,330
is,298
for,289
be,272
that,231
this,228
program,220
in,203
Regents,176
UNIVERSITY,176
CALIFORNIA,176
not,172
are,168
element,146
without,137
#if,136
defined(LOGGING),136
#endif,136
documentation,132
AND,132
software,132
from,130
UML,129
any,128
This,126
TODO:,122
deleted,121
by,117
elem,116
all,115
@#$LPS-LOGGING:GranularityType:Statement,103
@see,100
or,95
an,90
OR,89
SOFTWARE,88
TO,88
NO,88
HAS,88
University,88
California,88
ANY,88
FOR,88
\"\AS\,88
we,86
if,78
will,74
@return,74
implementation,74
as,74
model,74
@author,73
on,73
-,70
A,68
which,67
elements,64
its,62
have,62
operation,60
was,57
it,57
with,54
does,53
given,51
@#$LPS-LOGGING:Localization:NestedStatement,51
Permission,48
namespace,47
provided,46
copies,46
appear,46
All,46
above,45
$,45
exclusively,45
reason,45
\BASIS,\,44
copyright,44
DAMAGE,44
OUT,44
THIS,44
LOST,44
IS,44
MERCHANTABILITY,44
ADVISED,44
\fee,\,44
IN,44
IF,44
\SUPPORT,\,44
$Id:,44
OBLIGATIONS,44
end-user,44
SPECIFICALLY,44
\DOCUMENTATION,\,44
PARTICULAR,44
\UPDATES,\,44
IMPLIED,44
\MAINTENANCE,\,44
CONSEQUENTIAL,44
notice,44
BE,44
PROVIDE,44
understands,44
DISCLAIMS,44
MODIFICATIONS,44
WARRANTIES,44
NOT,44
\copy,\,44
ARISING,44
EVENT,44
\DAMAGES,\,44
\use,\,44
AN,44
\INDIRECT,\,44
SUCH,44
ON,44
marcusvnac,44
paragraph,44
\granted,\,44
Copyright,44
research,44
HEREUNDER,44
\SPECIAL,\,44
services,44
written,44
purposes,44
BEEN,44
BUT,44
advised,44
error-free,44
USE,44
Reserved,44
LIABLE,44
\IS"\,\,44
developed,44
agreement,44
PROVIDED,44
\INCLUDING,\,44
copyrighted,44
INCLUDING,44
supplied,44
SHALL,44
\IS"\\,44
warrant,44
PURPOSE,44
(c),44
accompanying,44
hereby,44
ITS,44
uninterrupted,44
\ENHANCEMENTS,\,44
\DIRECT,\,44
EVEN,44
PARTY,44
\TO,\,44
\WARRANTIES,\,44
Rights,44
distribute,44
\modify,\,44
rely,44
POSSIBILITY,44
LIMITED,44
FITNESS,44
\INCIDENTAL,\,44
\PROFITS,\,44
copy,43
=,43
should,41
method,40
only,40
get,39
other,39
but,38
collection,38
package,35
MDR,33
new,33
If,33
source,33
<p>,32
value,32
1.4,32
tfm,32
delete,31
contents,30
use,28
valid,28
Delete,28
Constructor,28
target,28
@since,28
null,27
metamodel,26
object,25
return,24
class,24
type,24
when,24
do,23
so,23
can,23
methods,23
then,23
here,22
Set,22
Tom,22
list,22
Create,22
Morris,22
one,22
|,22
Ma&icirc;tre,20
Ludovic,20
instance,20
exception,20
containing,20
stereotype,20
end,20
XMI,19
no,19
ARGO0.19.5,19
name,19
factory,19
factories,19
our,19
NSUML,18
event,18
function,18
Do,18
Returns,18
directly,18
names,18
component,18
call,18
contain,18
2010-04-03,17
don't,17
file,17
29,17
there,17
@#$LPS-LOGGING:GranularityType:Field,17
where,17
need,17
18:35:11Z,17
called,17
first,17
registered,16
results,16
already,16
used,16
Get,16
Return,16
We,16
@#$LPS-LOGGING:GranularityType:Import,16
helpers,16
single,16
message,16
they,15
find,15
true,15
To,15
For,15
reference,15
may,15
WFR,15
extent,15
it's,15
contained,15
instead,14
Namespace,14
owned,14
Collection,14
possible,14
some,14
),14
association,14
base,14
default,14
incorrect,14
see,14
following,14
create,14
two,13
error,13
last,13
want,13
handle,13
Thierry,13
part,13
at,13
122,13
parent,13
{@link,13
created,13
associated,13
always,13
2010-09-24,13
also,13
URL,13
Lach,13
00:46:37Z,13
newly,13
Used,12
allContents,12
String,12
change,12
by:,12
:,12
ModelElements,12
using,12
just,12
state,12
same,12
than,12
probably,12
their,12
multiple,12
set,12
imported,12
would,12
key,12
Package,11
Tolke,11
{,11
throws,11
allow,11
composite,11
specifies,11
AndroMDA,11
returns,11
classifier,11
classes,11
make,11
has,11
second,11
into,11
@#$LPS-LOGGING:Localization:StartMethod,11
been,11
ID,11
map,11
found,11
systemId,11
implies,11
Linus,11
Don't,11
functions,11
added,10
2005-2006,10
property,10
1.3,10
ns,10
up,10
types,10
repository,10
level,10
Helper,10
interface,10
transaction,10
rule,10
parents,10
bases,10
string,10
associations,10
132,10
events,10
23:32:33Z,10
decorating,10
must,10
those,10
connection,10
java.lang.Object),10
argument,10
@#$LPS-LOGGING:Localization:BeforeReturn,10
since,10
version,10
2010-09-26,10
attribute,10
add,10
GeneralizableElement,9
(r.participant),9
instanceof,9
sure,9
3.1,9
Ludo,9
responsible,9
root,9
section,9
old,9
Copy,9
spec,9
check,9
1996-2007,9
instantiation,9
after,9
commands,9
attributes,9
&,9
Map,9
system,9
(rastaman),9
Decorator,9
#3,9
deletion,9
Factory,9
constructor,9
issue,9
generating,9
<pre>,9
\java.lang.Object,\,9
e,9
case,9
mutable,9
},9
objects,8
Model,8
+,8
m,8
multiplicity,8
In,8
defined,8
different,8
work,8
classifiers,8
support,8
these,8
accesser,8
org.andromda.repositories.mdr.MDRXmiReferenceResolverContext,8
between,8
NOTE:,8
listener,8
both,8
Copied,8
code,8
ArgoUML,8
Method,8
role,8
remove,8
children,8
another,8
activator,8
actual,7
because,7
Object,7
See,7
include,7
xmi.id,7
implement,7
better,7
inheritance,7
MOF,7
Logger,7
primary,7
column,7
creating,7
2005-2008,7
place,7
Is,7
automatically,7
Check,7
visible,7
</pre>,7
arg,7
integer,7
empty,7
I,7
way,7
efficient,7
whether,7
models,7
aggregate,7
copied,6
else,6
metatype,6
\"\\,6
throw,6
aggregation,6
(,6
form,6
Event,6
feature,6
read,6
minimal,6
calls,6
modelelement,6
argument.<p>,6
adding,6
e.elementOwnership.visibility,6
output,6
existing,6
array,6
@throws,6
generalizable,6
Bob,6
Does,6
derived,6
below,6
required,6
suffix,6
subtypes,6
unnamed,6
about,6
2.5.3.1,6
module,6
generalizations,6
more,6
It,6
logging,6
Classifier,6
well-formedness,6
user,6
really,6
\Object,\,6
item,6
id,6
Use,6
them,6
statement,6
Class,6
what,6
build,6
update,6
etc,6
registration,5
Classifiers,5
each,5
<ul>,5
ClassifierRole,5
Construct,5
TagDefinition,5
needs,5
Add,5
matching,5
during,5
actually,5
well,5
search,5
can't,5
ModelImplementation,5
write,5
Derived,5
ends,5
substate,5
special,5
||,5
composition,5
ignore,5
put,5
ModelElement,5
require,5
doesn't,5
2005-2007,5
could,5
depends,5
[1],5
adapted,5
[3],5
StateVertex,5
next,5
strategy,5
[4],5
items,5
helper,5
gets,5
Set(ModelElement),5
</ul>,5
exist,5
OCL,5
match,5
(e,5
->,5
Collaboration,5
currently,5
indicating,5
something,5
signal,5
stereotypes,5
4.5.3.20,5
owner,5
<li>The,5
container,5
An,5
through,5
returning,5
transition,5
Set(ModelElement);,5
#else,5
uses,5
too,5
top,5
rather,5
subkeys,5
least,5
causes,5
Convert,5
convert,5
There,5
Should,5
AssociationRole,5
1996-2008,5
#public)->includes,4
standard,4
delete',4
keep,4
subsystem,4
back,4
Adds,4
3rd,4
Default,4
nested,4
Feature,4
package.<p>,4
unknown,4
Signal,4
done,4
needed,4
messages,4
Nothing,4
around,4
Associaton,4
oldValue,4
java.lang.String[]),4
remaining,4
we'll,4
less,4
either,4
necessary,4
filter,4
==,4
range,4
tree,4
data,4
again,4
unique,4
critic,4
assumes,4
performance,4
lookup,4
&&,4
result,4
setter,4
Not,4
traversal,4
Builds,4
newValue,4
modelelements,4
List,4
'cascading,4
Writer,4
legal,4
substates,4
care,4
<<import>>,4
Tarling,4
profiles,4
Interface,4
removed,4
referenced,4
itself,4
connections,4
works,4
[2],4
available,4
before,4
fail,4
supplier,4
binary,4
\null,\,4
UML1.4.2,4
formedness,4
Instance,4
concurrent,4
text,4
processing,4
internal,4
out,4
Copies,4
Unregister,4
namespaces,4
still,4
effect,4
shouldn't,4
UseCase,4
within,4
///////////////////////////////////////////////////,4
Attribute,4
equal,4
every,4
eliminate,4
based,4
listeners,4
specific,4
reflection,4
Although,4
command,4
additional,4
recursive,3
specified,3
changes,3
looking,3
Traverse,3
(20050711),3
<p>A,3
problems,3
like,3
boolean,3
features,3
c,3
seem,3
packages,3
o,3
p,3
mapping,3
self.allContents->forAll,3
actions,3
Generalizations,3
temporary,3
UmlFactoryMDRImpl#delete(Object),3
22:23:13Z,3
including,3
listed,3
\model,\,3
127,3
outside,3
4.12.3.1,3
linked,3
self.allConnections->forAll(r,3
Association,3
initialized,3
2.x,3
Look,3
includes,3
known,3
says,3
included,3
move,3
copying,3
account,3
baseclass,3
resolver,3
start,3
IllegalArgumentException,3
System,3
Relationship,3
BehavioralFeature,3
<<access>>,3
Message,3
attempt,3
AssociationEvent,3
collaboration,3
I18N,3
wellformednessrules,3
illegal,3
?delete,3
visibility,3
\name,\,3
information,3
N-ary,3
No,3
changing,3
Flag,3
2nd,3
think,3
returned,3
checked,3
requested,3
ge,3
pair,3
mult2,3
ModelManagement,3
cause,3
provides,3
Register,3
context,3
me,3
hierarchy,3
ok,3
sequence,3
Features,3
Action,3
rules,3
errors,3
handles,3
20080713,3
client,3
#protected)),3
things,3
permission,3
leave,3
parameter,3
determine,3
broken,3
classpath,3
2010-09-25,3
reader,3
subkey,3
problem,3
otherwise,3
supported,3
there's,3
MofID,3
easily,3
\element,\,3
even,3
loop,3
field,3
read-only,3
Messages,3
Reception,3
allImportedElements,3
Make,3
updates,3
Only,3
RefObject,3
now,3
publicly,3
deleteClass,3
